customer_id,customer_label,rm_id,region,sector,size_band,legal_form,onboarding_date,relationship_tenure_months,annual_turnover_try,employees,exporter_flag,importer_flag,digital_engagement_score,contact_permission,preferred_channel,data_class,pd_12m,internal_rating,days_past_due,stage,kyc_review_due_date,aml_alert_priority,beneficial_owner_complete,financials_fresh_flag,data_class_risk,inflow_6m_try,outflow_6m_try,pos_volume_6m_try,payroll_6m_try,fx_inflow_6m_try,fx_outflow_6m_try,trade_flow_6m_try,average_deposit_balance_try,average_loan_balance_try,digital_transaction_count_6m,products_held,bank_exposure_try,relationship_income_try,products_held_list,last_interaction_date,interactions_12m,days_since_interaction,relationship_depth_score,wallet_share_proxy,kyc_overdue_days
SME000039,Synthetic SME 000039,RM015,Marmara,Manufacturing,MICRO,SOLE_PROPRIETOR,2018-05-31,98,8814440.930000,3,False,False,72.740000,True,RM_CALL,DERIVED_ANALYTICS,0.045611,R04,0,1,2027-01-06,NONE,True,True,CONTROLLED_SYNTHETIC,4882136.160000,4395734.270000,241745.310000,669973.630000,0.000000,0.000000,0.000000,148101.925000,353110.425000,773,1,128391.840000,4948.780000,TERM_DEPOSIT,2026-08-17,6,3,26.910000,0.041617,0
SME000040,Synthetic SME 000040,RM015,Marmara,Agriculture,MICRO,LIMITED,2019-09-16,83,7230200.220000,8,False,False,51.130000,True,RM_CALL,DERIVED_ANALYTICS,0.036574,R03,5,1,2026-06-06,NONE,True,True,CONTROLLED_SYNTHETIC,3822271.480000,3578895.910000,205277.590000,1656214.470000,0.000000,0.000000,0.000000,139883.491667,471272.121667,458,2,6663134.740000,106647.460000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT,2026-08-04,1,16,58.570000,1.000000,75
SME000041,Synthetic SME 000041,RM036,Marmara,Wholesale Trade,SMALL,LIMITED,2024-11-14,21,35378048.500000,27,False,False,56.030000,False,RM_CALL,DERIVED_ANALYTICS,0.038465,R03,0,1,2026-12-19,LOW,True,True,CONTROLLED_SYNTHETIC,17741345.480000,14966359.280000,693496.110000,5464830.570000,0.000000,0.000000,0.000000,605352.771667,1717302.320000,571,0,0.000000,0.000000,,2026-07-24,4,27,5.000000,0.000000,0
SME000042,Synthetic SME 000042,RM026,Black Sea,Professional Services,SMALL,LIMITED,2020-10-02,70,69324720.210000,40,False,False,84.180000,True,RM_CALL,DERIVED_ANALYTICS,0.032748,R03,0,1,2025-12-26,NONE,True,True,CONTROLLED_SYNTHETIC,33669183.460000,30811330.860000,1634924.840000,9771741.200000,0.000000,0.000000,0.000000,1328569.440000,2932655.683333,743,4,84791760.760000,4111369.490000,CASH_MANAGEMENT|PAYROLL_SERVICES|POS_MERCHANT_ACQUIRING|TERM_DEPOSIT,2026-06-28,6,53,70.670000,1.000000,237
SME000043,Synthetic SME 000043,RM001,Mediterranean,Construction,MICRO,LIMITED,2017-09-19,107,6411857.310000,8,False,False,40.540000,True,VIDEO_MEETING,DERIVED_ANALYTICS,0.051136,R04,0,1,2027-05-01,MEDIUM,True,False,CONTROLLED_SYNTHETIC,3617357.980000,2916646.260000,133024.380000,1652541.940000,0.000000,0.000000,0.000000,167882.451667,315262.286667,440,1,181503.360000,6483.870000,TERM_DEPOSIT,2025-12-14,2,249,27.290000,0.080878,0
SME000044,Synthetic SME 000044,RM022,Central Anatolia,Construction,SMALL,SOLE_PROPRIETOR,2021-12-08,56,29272948.400000,47,False,False,76.600000,True,RM_CALL,DERIVED_ANALYTICS,0.037972,R03,0,1,2027-04-27,NONE,True,False,CONTROLLED_SYNTHETIC,13862145.620000,12561738.980000,400883.310000,9364882.400000,0.000000,0.000000,0.000000,495336.323333,1541504.245000,555,2,29621410.460000,357284.210000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT,2025-10-09,1,315,54.330000,1.000000,0
SME000045,Synthetic SME 000045,RM011,Black Sea,Technology,MICRO,SOLE_PROPRIETOR,2016-07-02,121,7680776.940000,5,False,False,64.700000,True,SECURE_MESSAGE,DERIVED_ANALYTICS,0.024331,R03,30,2,2026-10-03,NONE,True,True,CONTROLLED_SYNTHETIC,4586891.140000,4178568.130000,181749.330000,1037793.530000,0.000000,0.000000,0.000000,177360.993333,594157.570000,522,1,622985.440000,13567.590000,WORKING_CAPITAL_LOAN,2026-07-21,4,30,28.770000,0.231742,0
SME000046,Synthetic SME 000046,RM029,Marmara,Retail Trade,MEDIUM,LIMITED,2019-07-30,84,149386945.370000,147,False,False,92.050000,False,RM_CALL,DERIVED_ANALYTICS,0.039890,R03,0,1,2026-02-03,NONE,True,True,CONTROLLED_SYNTHETIC,89932464.270000,78171158.830000,55630552.790000,30563903.390000,0.000000,0.000000,0.000000,2421219.681667,4835281.486667,1022,4,157344721.930000,5048346.930000,BUSINESS_CREDIT_CARD|FX_RISK_MANAGEMENT|PAYROLL_SERVICES|POS_MERCHANT_ACQUIRING,2026-03-31,1,142,74.000000,1.000000,198
SME000047,Synthetic SME 000047,RM026,Black Sea,Wholesale Trade,SMALL,JOINT_STOCK,2020-03-03,77,56667242.230000,12,False,False,27.260000,True,RM_CALL,DERIVED_ANALYTICS,0.022182,R02,0,1,2026-07-19,NONE,True,True,CONTROLLED_SYNTHETIC,30709095.580000,28136452.830000,1274435.660000,2622877.190000,0.000000,0.000000,0.000000,1151657.088333,2850803.845000,238,0,0.000000,0.000000,,2026-07-11,6,40,18.330000,0.000000,32
SME000048,Synthetic SME 000048,RM024,Eastern,Healthcare,SMALL,LIMITED,2020-05-10,75,17470484.230000,20,False,True,68.860000,True,RM_CALL,DERIVED_ANALYTICS,0.020070,R02,0,1,2027-01-19,NONE,True,True,CONTROLLED_SYNTHETIC,8933086.620000,7943684.870000,4789250.550000,4499793.240000,0.000000,2025784.870000,983101.630000,390014.885000,512743.233333,612,3,21217672.810000,362759.710000,BUSINESS_CREDIT_CARD|CASH_MANAGEMENT|WORKING_CAPITAL_LOAN,2025-11-10,1,283,65.360000,1.000000,0
SME000049,Synthetic SME 000049,RM045,Aegean,Manufacturing,MICRO,LIMITED,2024-06-08,26,16423187.990000,7,False,False,39.580000,True,SECURE_MESSAGE,DERIVED_ANALYTICS,0.035653,R03,0,1,2025-12-30,NONE,True,False,CONTROLLED_SYNTHETIC,10132975.270000,9090315.880000,637594.550000,1530399.790000,0.000000,0.000000,0.000000,335378.931667,721393.095000,280,0,0.000000,0.000000,,2026-06-20,4,61,6.190000,0.000000,233
