interaction_id,customer_id,rm_id,interaction_date,channel,outcome,data_class
I0000047,SME000014,RM019,2026-06-06,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000048,SME000014,RM019,2026-07-17,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000049,SME000014,RM019,2026-07-05,SECURE_MESSAGE,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000050,SME000014,RM019,2026-02-25,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000051,SME000014,RM019,2026-03-14,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000052,SME000014,RM019,2026-07-26,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000053,SME000015,RM025,2025-12-23,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000054,SME000015,RM025,2026-03-08,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000055,SME000016,RM002,2025-10-04,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000056,SME000016,RM002,2025-08-24,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000057,SME000016,RM002,2026-01-21,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000058,SME000016,RM002,2026-08-14,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000059,SME000017,RM016,2026-04-14,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000060,SME000017,RM016,2025-10-17,SECURE_MESSAGE,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000061,SME000017,RM016,2026-04-05,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000062,SME000017,RM016,2026-04-03,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000063,SME000017,RM016,2026-06-03,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000064,SME000017,RM016,2025-09-24,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000065,SME000018,RM036,2026-05-22,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000066,SME000019,RM034,2026-07-31,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000067,SME000019,RM034,2026-07-20,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000068,SME000019,RM034,2025-09-13,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000069,SME000019,RM034,2025-08-21,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000070,SME000019,RM034,2026-03-19,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000071,SME000020,RM008,2025-09-02,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000072,SME000020,RM008,2026-07-31,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000073,SME000021,RM021,2025-10-30,BRANCH,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000074,SME000021,RM021,2026-04-08,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000075,SME000022,RM029,2025-12-14,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000076,SME000022,RM029,2026-07-18,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000077,SME000022,RM029,2025-12-10,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000078,SME000022,RM029,2025-11-26,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000079,SME000023,RM009,2026-01-27,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000080,SME000024,RM002,2025-12-02,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000081,SME000024,RM002,2025-08-25,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000082,SME000024,RM002,2026-05-14,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000083,SME000025,RM036,2025-10-21,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000084,SME000025,RM036,2026-04-24,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000085,SME000025,RM036,2025-09-19,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000086,SME000025,RM036,2025-10-21,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000087,SME000025,RM036,2026-08-12,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000088,SME000025,RM036,2025-10-17,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000089,SME000026,RM025,2026-01-20,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000090,SME000026,RM025,2025-09-17,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000091,SME000026,RM025,2025-10-12,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000092,SME000026,RM025,2025-09-10,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000093,SME000026,RM025,2026-07-01,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000094,SME000027,RM012,2026-03-15,BRANCH,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000095,SME000027,RM012,2026-01-12,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000096,SME000027,RM012,2026-05-17,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000097,SME000028,RM040,2026-06-13,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000098,SME000029,RM039,2026-08-16,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000099,SME000029,RM039,2026-07-21,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000100,SME000029,RM039,2025-09-21,CALL,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000101,SME000029,RM039,2026-08-17,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000102,SME000029,RM039,2026-01-25,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000103,SME000029,RM039,2026-07-14,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000104,SME000030,RM048,2026-01-09,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000105,SME000030,RM048,2025-10-15,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000106,SME000030,RM048,2026-08-05,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000107,SME000031,RM034,2025-09-05,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000108,SME000031,RM034,2026-05-13,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000109,SME000032,RM018,2026-05-06,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000110,SME000033,RM033,2026-05-10,CALL,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000111,SME000033,RM033,2026-05-26,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000112,SME000033,RM033,2026-02-18,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000113,SME000033,RM033,2025-12-12,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000114,SME000034,RM009,2025-09-27,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000115,SME000035,RM015,2025-12-16,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000116,SME000036,RM022,2026-02-18,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000117,SME000036,RM022,2026-04-19,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000118,SME000036,RM022,2025-09-05,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000119,SME000037,RM017,2026-06-15,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000120,SME000037,RM017,2025-11-25,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000121,SME000037,RM017,2026-05-09,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000122,SME000038,RM006,2026-02-15,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000123,SME000038,RM006,2026-07-03,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000124,SME000038,RM006,2025-11-08,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000125,SME000038,RM006,2025-12-06,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000126,SME000038,RM006,2026-04-14,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000127,SME000039,RM015,2026-08-17,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000128,SME000039,RM015,2026-06-12,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000129,SME000039,RM015,2026-02-10,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000130,SME000039,RM015,2026-08-05,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000131,SME000039,RM015,2026-07-13,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000132,SME000039,RM015,2026-07-29,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000133,SME000040,RM015,2026-08-04,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000134,SME000041,RM036,2026-07-24,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000135,SME000041,RM036,2025-09-26,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000136,SME000041,RM036,2025-11-12,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000137,SME000041,RM036,2026-02-12,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000138,SME000042,RM026,2025-10-18,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000139,SME000042,RM026,2026-06-21,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000140,SME000042,RM026,2026-06-28,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000141,SME000042,RM026,2025-11-14,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000142,SME000042,RM026,2025-11-25,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000143,SME000042,RM026,2025-09-10,BRANCH,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000144,SME000043,RM001,2025-12-14,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000145,SME000043,RM001,2025-10-11,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000146,SME000044,RM022,2025-10-09,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000147,SME000045,RM011,2025-10-31,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000148,SME000045,RM011,2026-04-28,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000149,SME000045,RM011,2026-07-21,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000150,SME000045,RM011,2025-12-21,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000151,SME000046,RM029,2026-03-31,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000152,SME000047,RM026,2025-11-22,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000153,SME000047,RM026,2025-09-13,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000154,SME000047,RM026,2025-11-12,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000155,SME000047,RM026,2026-01-04,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000156,SME000047,RM026,2026-07-11,CALL,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000157,SME000047,RM026,2026-04-25,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000158,SME000048,RM024,2025-11-10,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000159,SME000049,RM045,2025-11-13,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000160,SME000049,RM045,2026-04-19,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000161,SME000049,RM045,2026-05-14,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000162,SME000049,RM045,2026-06-20,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000163,SME000050,RM029,2026-02-09,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000164,SME000050,RM029,2025-12-28,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000165,SME000051,RM009,2025-10-26,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000166,SME000051,RM009,2026-03-07,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000167,SME000051,RM009,2026-05-27,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000168,SME000051,RM009,2026-01-14,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000169,SME000051,RM009,2025-11-26,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000170,SME000052,RM017,2026-05-15,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000171,SME000052,RM017,2025-11-11,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000172,SME000053,RM021,2026-03-30,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000173,SME000053,RM021,2026-05-30,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000174,SME000053,RM021,2025-10-28,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000175,SME000053,RM021,2025-12-16,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000176,SME000053,RM021,2026-03-21,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000177,SME000053,RM021,2025-10-31,BRANCH,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000178,SME000054,RM026,2026-03-03,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000179,SME000054,RM026,2025-12-24,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000180,SME000054,RM026,2026-05-31,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000181,SME000054,RM026,2026-05-22,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000182,SME000055,RM002,2025-10-30,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000183,SME000055,RM002,2025-11-26,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000184,SME000055,RM002,2026-07-25,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000185,SME000056,RM002,2026-07-30,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000186,SME000056,RM002,2026-01-01,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000187,SME000056,RM002,2026-02-20,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000188,SME000057,RM011,2025-12-17,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000189,SME000057,RM011,2025-12-13,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000190,SME000057,RM011,2026-07-18,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000191,SME000057,RM011,2026-03-06,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000192,SME000058,RM016,2025-09-07,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000193,SME000058,RM016,2026-05-25,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000194,SME000058,RM016,2026-02-19,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000195,SME000059,RM015,2026-03-07,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000196,SME000059,RM015,2025-09-05,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000197,SME000059,RM015,2025-10-29,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000198,SME000060,RM036,2026-08-01,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000199,SME000060,RM036,2026-08-15,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000200,SME000060,RM036,2026-08-12,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000201,SME000060,RM036,2026-06-01,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000202,SME000060,RM036,2026-07-24,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000203,SME000060,RM036,2026-03-04,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000204,SME000061,RM036,2026-01-29,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000205,SME000062,RM017,2026-05-18,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000206,SME000062,RM017,2025-10-21,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000207,SME000062,RM017,2026-05-07,SECURE_MESSAGE,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000208,SME000063,RM004,2026-06-09,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000209,SME000064,RM048,2026-07-22,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000210,SME000065,RM001,2026-05-17,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000211,SME000065,RM001,2026-07-21,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000212,SME000065,RM001,2026-01-31,CALL,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000213,SME000065,RM001,2026-02-20,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000214,SME000066,RM008,2026-02-04,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000215,SME000067,RM045,2025-10-18,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000216,SME000067,RM045,2025-12-03,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000217,SME000067,RM045,2026-03-14,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000218,SME000067,RM045,2025-11-29,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000219,SME000067,RM045,2025-11-21,BRANCH,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000220,SME000068,RM046,2026-04-27,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000221,SME000068,RM046,2026-05-29,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000222,SME000069,RM008,2025-11-07,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000223,SME000069,RM008,2025-11-21,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000224,SME000069,RM008,2025-09-22,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000225,SME000069,RM008,2026-07-29,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000226,SME000070,RM041,2025-11-04,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000227,SME000071,RM017,2025-11-12,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000228,SME000071,RM017,2026-03-24,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000229,SME000071,RM017,2026-06-29,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000230,SME000071,RM017,2026-06-04,MEETING,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000231,SME000071,RM017,2026-02-21,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000232,SME000072,RM036,2025-11-28,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000233,SME000072,RM036,2026-07-21,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000234,SME000072,RM036,2025-11-20,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000235,SME000072,RM036,2025-12-13,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000236,SME000072,RM036,2025-11-09,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000237,SME000072,RM036,2026-06-08,SECURE_MESSAGE,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000238,SME000073,RM008,2025-10-23,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000239,SME000074,RM019,2026-07-22,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000240,SME000074,RM019,2026-05-21,MEETING,FOLLOW_UP,CONTROLLED_SYNTHETIC
I0000241,SME000074,RM019,2025-11-13,CALL,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000242,SME000074,RM019,2025-12-15,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000243,SME000074,RM019,2025-12-15,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000244,SME000075,RM002,2025-09-17,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000245,SME000075,RM002,2025-12-22,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000246,SME000075,RM002,2026-06-07,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000247,SME000075,RM002,2026-02-22,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000248,SME000075,RM002,2025-10-09,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000249,SME000076,RM047,2025-12-07,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000250,SME000077,RM012,2025-09-14,MEETING,NEEDS_REVIEW,CONTROLLED_SYNTHETIC
I0000251,SME000077,RM012,2025-12-28,SECURE_MESSAGE,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000252,SME000078,RM022,2026-01-05,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000253,SME000078,RM022,2026-08-18,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000254,SME000078,RM022,2026-03-27,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000255,SME000078,RM022,2025-10-15,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000256,SME000078,RM022,2026-05-15,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000257,SME000078,RM022,2025-08-31,SECURE_MESSAGE,CONNECTED,CONTROLLED_SYNTHETIC
I0000258,SME000079,RM015,2026-05-30,BRANCH,NO_RESPONSE,CONTROLLED_SYNTHETIC
I0000259,SME000080,RM041,2026-01-26,MEETING,CONNECTED,CONTROLLED_SYNTHETIC
I0000260,SME000080,RM041,2025-09-09,BRANCH,CONNECTED,CONTROLLED_SYNTHETIC
I0000261,SME000080,RM041,2026-03-16,CALL,CONNECTED,CONTROLLED_SYNTHETIC
I0000262,SME000080,RM041,2025-11-15,CALL,CONNECTED,CONTROLLED_SYNTHETIC
