customer_id,customer_label,rm_id,region,sector,size_band,legal_form,onboarding_date,relationship_tenure_months,annual_turnover_try,employees,exporter_flag,importer_flag,digital_engagement_score,contact_permission,preferred_channel,data_class
SME000022,Synthetic SME 000022,RM029,Marmara,Construction,MICRO,SOLE_PROPRIETOR,2020-03-04,77,16992250.350000,4,False,False,78.450000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000023,Synthetic SME 000023,RM009,Marmara,Construction,SMALL,SOLE_PROPRIETOR,2019-06-02,86,21724988.330000,21,False,False,60.970000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000024,Synthetic SME 000024,RM002,Marmara,Professional Services,MICRO,SOLE_PROPRIETOR,2020-04-27,75,11791587.800000,9,False,False,53.070000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000025,Synthetic SME 000025,RM036,Marmara,Healthcare,MICRO,LIMITED,2016-09-13,119,8437677.060000,4,False,False,60.940000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000026,Synthetic SME 000026,RM025,Black Sea,Construction,MICRO,JOINT_STOCK,2025-02-27,17,5417052.870000,4,False,False,74.570000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000027,Synthetic SME 000027,RM012,Central Anatolia,Hospitality,SMALL,LIMITED,2025-06-03,14,15342760.740000,25,False,False,28.360000,False,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000028,Synthetic SME 000028,RM040,Black Sea,Construction,SMALL,LIMITED,2023-01-13,43,50896900.170000,11,False,True,75.770000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000029,Synthetic SME 000029,RM039,Eastern,Wholesale Trade,MEDIUM,LIMITED,2020-12-30,67,113956034.190000,240,False,True,73.010000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000030,Synthetic SME 000030,RM048,Eastern,Technology,MICRO,JOINT_STOCK,2024-11-08,21,1835567.180000,6,False,False,37.340000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000031,Synthetic SME 000031,RM034,Aegean,Transportation,MEDIUM,LIMITED,2021-04-28,63,92965800.590000,63,False,False,70.300000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000032,Synthetic SME 000032,RM018,Mediterranean,Manufacturing,SMALL,LIMITED,2020-10-09,70,32218708.580000,46,True,False,60.620000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000033,Synthetic SME 000033,RM033,Mediterranean,Wholesale Trade,MEDIUM,SOLE_PROPRIETOR,2020-05-28,74,84712909.420000,145,False,False,38.740000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000034,Synthetic SME 000034,RM009,Marmara,Transportation,MICRO,LIMITED,2022-12-06,44,3456300.440000,5,True,True,70.390000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000035,Synthetic SME 000035,RM015,Marmara,Construction,SMALL,LIMITED,2020-09-13,71,87531132.730000,35,False,False,64.040000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000036,Synthetic SME 000036,RM022,Central Anatolia,Hospitality,MICRO,JOINT_STOCK,2018-08-20,96,8442212.850000,9,False,False,29.600000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000037,Synthetic SME 000037,RM017,Aegean,Construction,MICRO,SOLE_PROPRIETOR,2016-04-14,124,15480521.230000,4,False,False,58.910000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000038,Synthetic SME 000038,RM006,Aegean,Healthcare,SMALL,LIMITED,2024-07-27,24,33237283.260000,49,False,True,69.920000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000039,Synthetic SME 000039,RM015,Marmara,Manufacturing,MICRO,SOLE_PROPRIETOR,2018-05-31,98,8814440.930000,3,False,False,72.740000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000040,Synthetic SME 000040,RM015,Marmara,Agriculture,MICRO,LIMITED,2019-09-16,83,7230200.220000,8,False,False,51.130000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000041,Synthetic SME 000041,RM036,Marmara,Wholesale Trade,SMALL,LIMITED,2024-11-14,21,35378048.500000,27,False,False,56.030000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000042,Synthetic SME 000042,RM026,Black Sea,Professional Services,SMALL,LIMITED,2020-10-02,70,69324720.210000,40,False,False,84.180000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000043,Synthetic SME 000043,RM001,Mediterranean,Construction,MICRO,LIMITED,2017-09-19,107,6411857.310000,8,False,False,40.540000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000044,Synthetic SME 000044,RM022,Central Anatolia,Construction,SMALL,SOLE_PROPRIETOR,2021-12-08,56,29272948.400000,47,False,False,76.600000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000045,Synthetic SME 000045,RM011,Black Sea,Technology,MICRO,SOLE_PROPRIETOR,2016-07-02,121,7680776.940000,5,False,False,64.700000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000046,Synthetic SME 000046,RM029,Marmara,Retail Trade,MEDIUM,LIMITED,2019-07-30,84,149386945.370000,147,False,False,92.050000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000047,Synthetic SME 000047,RM026,Black Sea,Wholesale Trade,SMALL,JOINT_STOCK,2020-03-03,77,56667242.230000,12,False,False,27.260000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000048,Synthetic SME 000048,RM024,Eastern,Healthcare,SMALL,LIMITED,2020-05-10,75,17470484.230000,20,False,True,68.860000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000049,Synthetic SME 000049,RM045,Aegean,Manufacturing,MICRO,LIMITED,2024-06-08,26,16423187.990000,7,False,False,39.580000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000050,Synthetic SME 000050,RM029,Marmara,Retail Trade,MICRO,LIMITED,2018-02-03,102,11900526.250000,5,False,False,59.810000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000051,Synthetic SME 000051,RM009,Marmara,Retail Trade,MICRO,LIMITED,2019-07-27,84,3144594.720000,8,False,True,47.020000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000052,Synthetic SME 000052,RM017,Aegean,Hospitality,MICRO,SOLE_PROPRIETOR,2017-04-22,111,3517222.950000,2,False,False,41.710000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000053,Synthetic SME 000053,RM021,Marmara,Agriculture,MEDIUM,JOINT_STOCK,2019-02-21,89,78683490.650000,66,True,False,67.610000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000054,Synthetic SME 000054,RM026,Black Sea,Manufacturing,MICRO,SOLE_PROPRIETOR,2022-10-02,46,8033843.530000,3,False,False,86.330000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000055,Synthetic SME 000055,RM002,Marmara,Manufacturing,MEDIUM,LIMITED,2015-08-16,132,81357328.830000,225,False,True,66.800000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000056,Synthetic SME 000056,RM002,Marmara,Healthcare,MICRO,SOLE_PROPRIETOR,2020-05-16,75,10114301.560000,7,False,False,59.520000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000057,Synthetic SME 000057,RM011,Black Sea,Wholesale Trade,MICRO,LIMITED,2017-03-12,113,6796372.910000,5,False,True,64.510000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000058,Synthetic SME 000058,RM016,Mediterranean,Agriculture,MEDIUM,LIMITED,2019-04-18,88,92874787.060000,189,True,False,59.930000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000059,Synthetic SME 000059,RM015,Marmara,Retail Trade,SMALL,JOINT_STOCK,2018-07-31,96,48005705.950000,45,False,False,51.010000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000060,Synthetic SME 000060,RM036,Marmara,Transportation,MICRO,LIMITED,2023-04-09,40,15762573.310000,6,False,False,67.420000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000061,Synthetic SME 000061,RM036,Marmara,Wholesale Trade,SMALL,LIMITED,2024-01-10,31,41085019.790000,39,False,True,71.830000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000062,Synthetic SME 000062,RM017,Aegean,Hospitality,MICRO,LIMITED,2024-01-13,31,14248466.330000,3,False,True,81.540000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000063,Synthetic SME 000063,RM004,Central Anatolia,Technology,MEDIUM,JOINT_STOCK,2023-06-26,37,56523430.750000,161,True,True,77.060000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000064,Synthetic SME 000064,RM048,Eastern,Construction,MICRO,JOINT_STOCK,2025-04-07,16,4840647.580000,7,False,False,87.990000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000065,Synthetic SME 000065,RM001,Mediterranean,Technology,MEDIUM,SOLE_PROPRIETOR,2018-06-16,98,82421488.310000,163,False,False,71.740000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000066,Synthetic SME 000066,RM008,Marmara,Professional Services,MICRO,LIMITED,2015-05-21,134,18441897.900000,9,False,False,78.200000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000067,Synthetic SME 000067,RM045,Aegean,Healthcare,SMALL,LIMITED,2016-10-06,118,14521058.820000,33,False,False,42.470000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000068,Synthetic SME 000068,RM046,Mediterranean,Wholesale Trade,MICRO,LIMITED,2018-07-14,97,4574580.920000,6,False,False,58.040000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000069,Synthetic SME 000069,RM008,Marmara,Hospitality,SMALL,SOLE_PROPRIETOR,2023-01-03,43,122423932.950000,13,False,False,56.180000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000070,Synthetic SME 000070,RM041,Marmara,Construction,SMALL,JOINT_STOCK,2024-02-16,30,28339160.730000,39,False,False,93.810000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000071,Synthetic SME 000071,RM017,Aegean,Technology,SMALL,LIMITED,2016-01-12,127,46120862.190000,49,False,True,54.880000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000072,Synthetic SME 000072,RM036,Marmara,Manufacturing,MICRO,LIMITED,2024-11-03,21,9538333.060000,5,False,False,56.540000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000073,Synthetic SME 000073,RM008,Marmara,Hospitality,MICRO,LIMITED,2024-07-05,25,9252603.720000,2,False,False,64.650000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000074,Synthetic SME 000074,RM019,Aegean,Manufacturing,MEDIUM,JOINT_STOCK,2023-04-13,40,107649516.890000,239,True,True,71.280000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000075,Synthetic SME 000075,RM002,Marmara,Agriculture,MICRO,SOLE_PROPRIETOR,2024-11-17,21,4998084.450000,5,False,False,60.770000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000076,Synthetic SME 000076,RM047,Central Anatolia,Hospitality,SMALL,LIMITED,2017-11-08,105,35396969.640000,20,True,False,40.640000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000077,Synthetic SME 000077,RM012,Central Anatolia,Healthcare,SMALL,LIMITED,2020-02-26,77,34136921.410000,27,False,False,54.000000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000078,Synthetic SME 000078,RM022,Central Anatolia,Construction,MEDIUM,JOINT_STOCK,2023-06-22,37,133506672.630000,75,False,False,16.620000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000079,Synthetic SME 000079,RM015,Marmara,Technology,MICRO,LIMITED,2022-03-15,53,6754104.090000,7,False,False,34.140000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000080,Synthetic SME 000080,RM041,Marmara,Technology,SMALL,SOLE_PROPRIETOR,2015-05-28,134,31975254.310000,41,False,True,48.310000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000081,Synthetic SME 000081,RM023,Black Sea,Hospitality,MEDIUM,LIMITED,2025-03-13,17,99285993.880000,178,True,True,56.190000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000082,Synthetic SME 000082,RM033,Mediterranean,Hospitality,MICRO,SOLE_PROPRIETOR,2025-10-30,9,14380098.700000,3,False,False,29.900000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000083,Synthetic SME 000083,RM040,Black Sea,Hospitality,MICRO,SOLE_PROPRIETOR,2018-02-04,102,9236082.390000,3,True,True,36.470000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000084,Synthetic SME 000084,RM033,Mediterranean,Manufacturing,MICRO,LIMITED,2024-04-01,28,9037058.920000,6,True,True,93.240000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000085,Synthetic SME 000085,RM041,Marmara,Retail Trade,MEDIUM,JOINT_STOCK,2019-08-01,84,212874758.020000,145,True,False,87.060000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000086,Synthetic SME 000086,RM008,Marmara,Retail Trade,SMALL,LIMITED,2022-06-21,49,17272229.430000,18,False,True,29.690000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000087,Synthetic SME 000087,RM017,Aegean,Healthcare,SMALL,LIMITED,2016-08-11,120,18314170.060000,27,False,True,90.820000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000088,Synthetic SME 000088,RM009,Marmara,Hospitality,SMALL,JOINT_STOCK,2022-09-04,47,32381795.820000,49,False,False,95.860000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000089,Synthetic SME 000089,RM031,Black Sea,Healthcare,SMALL,LIMITED,2020-07-28,72,26415211.180000,27,True,False,90.970000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000090,Synthetic SME 000090,RM008,Marmara,Agriculture,SMALL,LIMITED,2015-04-04,136,18384668.510000,37,False,False,72.460000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000091,Synthetic SME 000091,RM029,Marmara,Hospitality,SMALL,LIMITED,2016-06-27,121,27154796.620000,42,False,True,27.980000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000092,Synthetic SME 000092,RM041,Marmara,Transportation,SMALL,LIMITED,2025-01-14,19,94377321.840000,11,False,True,61.480000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000093,Synthetic SME 000093,RM035,Central Anatolia,Retail Trade,MICRO,JOINT_STOCK,2024-05-30,26,9428098.590000,3,False,False,53.630000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000094,Synthetic SME 000094,RM010,Central Anatolia,Healthcare,MEDIUM,LIMITED,2019-11-12,81,102371399.980000,165,False,False,35.460000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000095,Synthetic SME 000095,RM043,Mediterranean,Technology,MICRO,LIMITED,2025-11-01,9,4391537.450000,9,False,True,51.790000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000096,Synthetic SME 000096,RM035,Central Anatolia,Hospitality,MICRO,LIMITED,2020-03-26,76,6437811.700000,2,False,False,24.410000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000097,Synthetic SME 000097,RM031,Black Sea,Construction,MICRO,LIMITED,2019-12-15,80,2639258.740000,6,False,False,69.810000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000098,Synthetic SME 000098,RM021,Marmara,Hospitality,MEDIUM,LIMITED,2023-09-02,35,95289710.020000,75,True,False,76.150000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000099,Synthetic SME 000099,RM013,Black Sea,Healthcare,SMALL,LIMITED,2022-08-06,48,22611489.340000,19,False,False,44.870000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000100,Synthetic SME 000100,RM030,Central Anatolia,Retail Trade,SMALL,LIMITED,2023-09-22,34,34954305.640000,44,False,False,82.640000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000101,Synthetic SME 000101,RM002,Marmara,Wholesale Trade,SMALL,JOINT_STOCK,2023-05-30,38,22776834.110000,44,False,False,52.350000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000102,Synthetic SME 000102,RM038,Aegean,Transportation,SMALL,SOLE_PROPRIETOR,2022-12-22,43,73725715.750000,37,False,False,27.010000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000103,Synthetic SME 000103,RM046,Mediterranean,Transportation,MICRO,LIMITED,2024-10-31,21,6084110.850000,3,True,False,96.990000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000104,Synthetic SME 000104,RM009,Marmara,Manufacturing,SMALL,LIMITED,2017-03-17,113,54305394.380000,28,False,False,53.630000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000105,Synthetic SME 000105,RM009,Marmara,Hospitality,MEDIUM,LIMITED,2015-04-14,136,91511125.480000,221,False,False,52.820000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000106,Synthetic SME 000106,RM002,Marmara,Agriculture,MICRO,LIMITED,2015-03-14,137,7298379.070000,2,False,False,48.080000,False,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000107,Synthetic SME 000107,RM016,Mediterranean,Professional Services,MICRO,LIMITED,2021-01-04,67,8867373.170000,8,True,False,86.630000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000108,Synthetic SME 000108,RM043,Mediterranean,Transportation,SMALL,SOLE_PROPRIETOR,2021-08-11,60,29164619.910000,12,False,False,67.090000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000109,Synthetic SME 000109,RM039,Eastern,Technology,MEDIUM,SOLE_PROPRIETOR,2021-12-29,55,88666841.290000,114,False,False,76.080000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000110,Synthetic SME 000110,RM047,Central Anatolia,Healthcare,MICRO,LIMITED,2015-12-29,127,14843914.540000,8,False,False,77.490000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000111,Synthetic SME 000111,RM025,Black Sea,Construction,SMALL,SOLE_PROPRIETOR,2018-08-27,95,41596742.800000,28,True,False,82.290000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000112,Synthetic SME 000112,RM047,Central Anatolia,Technology,MICRO,JOINT_STOCK,2019-11-20,80,2367289.800000,8,False,False,41.130000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000113,Synthetic SME 000113,RM029,Marmara,Healthcare,MEDIUM,JOINT_STOCK,2018-07-16,97,133551099.690000,179,True,False,92.600000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000114,Synthetic SME 000114,RM019,Aegean,Manufacturing,MICRO,LIMITED,2024-05-11,27,3992382.140000,2,False,False,83.460000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000115,Synthetic SME 000115,RM030,Central Anatolia,Professional Services,MICRO,SOLE_PROPRIETOR,2023-12-03,32,8033715.690000,9,True,True,67.850000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000116,Synthetic SME 000116,RM041,Marmara,Hospitality,SMALL,LIMITED,2024-01-19,31,17076863.320000,35,True,False,58.790000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000117,Synthetic SME 000117,RM021,Marmara,Wholesale Trade,SMALL,LIMITED,2016-11-20,116,35280875.770000,42,False,False,70.900000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000118,Synthetic SME 000118,RM021,Marmara,Retail Trade,MICRO,LIMITED,2024-07-11,25,11215601.610000,2,False,True,76.620000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000119,Synthetic SME 000119,RM021,Marmara,Construction,MICRO,LIMITED,2026-01-27,6,6689879.050000,5,False,False,48.510000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000120,Synthetic SME 000120,RM029,Marmara,Wholesale Trade,SMALL,SOLE_PROPRIETOR,2021-05-02,63,43166305.360000,26,False,False,36.740000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000121,Synthetic SME 000121,RM022,Central Anatolia,Professional Services,MICRO,LIMITED,2016-10-17,118,11080406.580000,8,True,False,71.370000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000122,Synthetic SME 000122,RM012,Central Anatolia,Technology,MICRO,LIMITED,2015-12-31,127,2942800.790000,8,False,False,67.950000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000123,Synthetic SME 000123,RM029,Marmara,Hospitality,MEDIUM,JOINT_STOCK,2018-08-07,96,122065234.230000,70,False,False,45.890000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000124,Synthetic SME 000124,RM032,Aegean,Transportation,MEDIUM,SOLE_PROPRIETOR,2015-04-07,136,314481982.800000,68,False,False,40.280000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000125,Synthetic SME 000125,RM035,Central Anatolia,Professional Services,MICRO,LIMITED,2024-02-12,30,6293799.750000,4,False,False,93.060000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000126,Synthetic SME 000126,RM012,Central Anatolia,Healthcare,MEDIUM,LIMITED,2021-02-08,66,76101974.520000,187,True,True,66.980000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000127,Synthetic SME 000127,RM001,Mediterranean,Hospitality,MICRO,LIMITED,2019-08-15,84,4361543.420000,4,False,False,64.770000,False,RM_CALL,CONTROLLED_SYNTHETIC
SME000128,Synthetic SME 000128,RM034,Aegean,Wholesale Trade,MICRO,JOINT_STOCK,2016-02-09,126,4983543.240000,7,False,False,32.940000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000129,Synthetic SME 000129,RM002,Marmara,Agriculture,SMALL,LIMITED,2023-06-06,38,26520169.990000,13,False,True,67.990000,True,BRANCH,CONTROLLED_SYNTHETIC
SME000130,Synthetic SME 000130,RM031,Black Sea,Hospitality,SMALL,SOLE_PROPRIETOR,2021-10-03,58,13462484.990000,30,False,False,51.300000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000131,Synthetic SME 000131,RM036,Marmara,Technology,MICRO,LIMITED,2022-05-12,51,8915405.480000,4,False,False,83.830000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000132,Synthetic SME 000132,RM027,Eastern,Agriculture,SMALL,LIMITED,2016-09-26,118,39873190.600000,49,False,True,40.070000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000133,Synthetic SME 000133,RM002,Marmara,Professional Services,MICRO,LIMITED,2018-11-30,92,10468820.490000,5,False,False,36.560000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000134,Synthetic SME 000134,RM010,Central Anatolia,Professional Services,MICRO,LIMITED,2021-06-04,62,4912248.810000,5,False,False,30.390000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000135,Synthetic SME 000135,RM002,Marmara,Professional Services,SMALL,SOLE_PROPRIETOR,2015-03-07,137,46537295.260000,30,False,True,68.210000,True,VIDEO_MEETING,CONTROLLED_SYNTHETIC
SME000136,Synthetic SME 000136,RM025,Black Sea,Transportation,MICRO,LIMITED,2021-10-08,58,21675116.740000,7,False,False,44.110000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
SME000137,Synthetic SME 000137,RM041,Marmara,Hospitality,SMALL,LIMITED,2023-08-16,36,52064024.630000,49,True,False,69.590000,True,RM_CALL,CONTROLLED_SYNTHETIC
SME000138,Synthetic SME 000138,RM036,Marmara,Technology,MEDIUM,LIMITED,2019-11-11,81,247213327.830000,156,True,True,68.610000,True,SECURE_MESSAGE,CONTROLLED_SYNTHETIC
